Alpha,Time,X,Y,Orientation
11.092147682049188,10.8,295.762888367,43.7311311281,-49.8597301535
11.092147682049188,10.9,297.062165292,42.2106632626,-49.1108747745
11.092147682049188,11.0,298.381203182,40.7073063174,-48.3620193956
11.904643545015213,11.1,299.720506556,39.2219778593,-47.5567551051
11.904643545015213,11.2,301.080552538,37.755618734,-46.7514908147
11.904643545015213,11.3,302.461072483,36.3085185858,-45.9462265243
11.904643545015213,11.4,303.861793702,34.8809632546,-45.1409622339
11.904643545015213,11.5,305.282439517,33.4732347199,-44.3356979434
12.371005473067335,11.6,306.723122181,32.0860208972,-43.4979045182
12.371005473067335,11.7,308.183934302,30.720020649,-42.660111093
12.371005473067335,11.8,309.664563548,29.3755260349,-41.8223176677
12.371005473067335,11.9,311.16469335,28.0528245167,-40.9845242425
12.371005473067335,12.0,312.684002972,26.7521988964,-40.1467308173
12.998319760579387,12.1,314.222656139,25.4745183847,-39.2649972712
12.998319760579387,12.2,315.780788758,24.2206667992,-38.3832637252
12.998319760579387,12.3,317.358031831,22.9909410788,-37.5015301791
12.998319760579387,12.4,318.954011833,21.7856324487,-36.6197966331
12.998319760579387,12.5,320.5683508,20.6050263518,-35.738063087
13.324581099969526,12.6,322.200896888,19.4497297795,-34.8333893752
13.324581099969526,12.7,323.851480313,18.3203532896,-33.9287156635
13.324581099969526,12.8,325.519689577,17.2171784407,-33.0240419517
13.324581099969526,12.9,327.20510879,16.1404802589,-32.11936824
13.324581099969526,13.0,328.907317769,15.0905271695,-31.2146945282
